City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Bethel,41.3712,-73.414,70.72,83,90,5.75,US,2021-08-05 14:29:44
68,North Las Vegas,36.1989,-115.1175,97.2,20,1,6.91,US,2021-08-05 14:28:59
69,Richards Bay,-28.783,32.0377,76.39,52,0,11.21,ZA,2021-08-05 14:29:45
70,Thompson,55.7435,-97.8558,48.36,87,75,0.0,CA,2021-08-05 14:29:45
71,La Asuncion,11.0333,-63.8628,83.93,74,0,10.36,VE,2021-08-05 14:29:46
72,Atuona,-9.8,-139.0333,77.11,76,11,12.77,PF,2021-08-05 14:29:46
73,Amga,60.8953,131.9608,58.03,57,41,2.24,RU,2021-08-05 14:29:46
74,Champerico,14.3,-91.9167,83.77,80,83,3.98,GT,2021-08-05 14:29:47
75,Avdon,54.6667,55.7167,81.25,51,75,15.66,RU,2021-08-05 14:29:47
76,Acarau,-2.8856,-40.12,88.56,48,5,12.68,BR,2021-08-05 14:29:48
77,Batabano,22.7164,-82.2881,84.81,72,94,9.46,CU,2021-08-05 14:29:48
78,Tuatapere,-46.1333,167.6833,33.82,89,34,3.09,NZ,2021-08-05 14:29:49
79,Saint-Philippe,-21.3585,55.7679,69.35,81,64,11.34,RE,2021-08-05 14:29:50
80,Hofn,64.2539,-15.2082,53.28,87,93,8.05,IS,2021-08-05 14:29:50
81,New Norfolk,-42.7826,147.0587,53.1,65,100,7.0,AU,2021-08-05 14:29:50
82,Puerto Asis,0.5133,-76.5007,75.76,70,74,2.53,CO,2021-08-05 14:29:51
83,Cidreira,-30.1811,-50.2056,62.96,84,100,13.96,BR,2021-08-05 14:29:51
84,Kutum,14.2,24.6667,89.64,29,76,8.46,SD,2021-08-05 14:29:52
85,Sarangani,5.4033,125.4636,84.63,74,98,6.38,PH,2021-08-05 14:29:52
86,Upernavik,72.7868,-56.1549,46.0,65,10,0.67,GL,2021-08-05 14:29:52
87,Bon Accord,53.8335,-113.4187,68.79,82,1,2.3,CA,2021-08-05 14:29:53
88,Yulara,-25.2406,130.9889,49.84,46,0,9.22,AU,2021-08-05 14:29:53
89,Olinda,-8.0089,-34.8553,78.53,83,75,16.11,BR,2021-08-05 14:29:54
90,Rosetta,31.4044,30.4164,94.82,61,0,16.13,EG,2021-08-05 14:29:54
91,Hornepayne,49.2138,-84.7705,72.77,58,100,9.78,CA,2021-08-05 14:29:55
92,Stornoway,58.2093,-6.3865,61.93,94,40,6.91,GB,2021-08-05 14:29:55
93,Barguzin,53.6167,109.6167,59.43,81,45,3.51,RU,2021-08-05 14:29:55
94,Palmer,42.1584,-72.3287,67.46,83,90,1.01,US,2021-08-05 14:29:56
95,Provideniya,64.3833,-173.3,47.98,89,94,6.69,RU,2021-08-05 14:29:56
96,Arraial Do Cabo,-22.9661,-42.0278,69.76,83,75,5.75,BR,2021-08-05 14:29:57
97,Abeche,13.8292,20.8324,95.02,41,75,13.8,TD,2021-08-05 14:29:57
98,Salinas,36.6777,-121.6555,60.21,91,90,6.91,US,2021-08-05 14:29:20
99,Iqaluit,63.7506,-68.5145,46.13,81,90,10.0,CA,2021-08-05 14:29:58
100,Bull Savanna,17.8868,-77.5902,82.35,61,72,13.18,JM,2021-08-05 14:29:58
101,Moron,-34.6534,-58.6198,53.49,99,90,5.01,AR,2021-08-05 14:29:59
102,Port Lincoln,-34.7333,135.8667,55.38,75,100,10.0,AU,2021-08-05 14:29:59
103,Haines Junction,60.7522,-137.5108,53.55,94,100,1.14,CA,2021-08-05 14:30:00
104,Akdepe,42.0551,59.3788,100.49,14,87,15.1,TM,2021-08-05 14:30:00
105,Lorengau,-2.0226,147.2712,79.79,82,26,5.12,PG,2021-08-05 14:30:01
106,Nkwerre,5.7556,7.1063,81.27,69,97,8.21,NG,2021-08-05 14:30:01
107,Klaksvik,62.2266,-6.589,56.32,95,87,7.34,FO,2021-08-05 14:30:09
108,Vardo,70.3705,31.1107,59.2,83,72,3.65,NO,2021-08-05 14:30:10
109,Yamada,39.4667,141.95,75.99,94,3,5.1,JP,2021-08-05 14:30:11
110,Butaritari,3.0707,172.7902,82.72,67,14,9.37,KI,2021-08-05 14:30:12
111,Namatanai,-3.6667,152.4333,78.75,85,66,6.02,PG,2021-08-05 14:30:12
112,Berlevag,70.8578,29.0864,51.12,88,99,7.31,NO,2021-08-05 14:30:13
113,Axim,4.8699,-2.2405,80.46,72,56,12.26,GH,2021-08-05 14:30:13
114,Karratha,-20.7377,116.8463,73.78,42,64,13.47,AU,2021-08-05 14:30:14
115,Merauke,-8.4667,140.3333,73.65,85,70,12.84,ID,2021-08-05 14:30:15
116,Yerbogachen,61.2767,108.0108,63.66,71,100,11.56,RU,2021-08-05 14:30:16
117,Pangnirtung,66.1451,-65.7125,44.6,87,75,13.8,CA,2021-08-05 14:30:16
118,Teahupoo,-17.8333,-149.2667,69.76,80,38,9.84,PF,2021-08-05 14:30:17
119,Airai,-8.9266,125.4092,55.9,90,86,3.67,TL,2021-08-05 14:30:17
120,Lewistown,40.5992,-77.5714,78.35,69,1,0.0,US,2021-08-05 14:30:18
121,Yinchuan,38.4681,106.2731,79.11,18,34,13.06,CN,2021-08-05 14:30:19
122,Paamiut,61.994,-49.6678,45.79,93,100,27.49,GL,2021-08-05 14:30:20
123,Kieta,-6.2167,155.6333,77.94,85,100,8.68,PG,2021-08-05 14:30:20
124,Albany,42.6001,-73.9662,73.62,76,15,4.54,US,2021-08-05 14:30:21
125,Tiksi,71.6872,128.8694,39.92,91,37,8.5,RU,2021-08-05 14:30:21
126,Russell,32.3502,-85.1999,80.8,77,75,6.91,US,2021-08-05 14:30:22
127,Phek,25.6667,94.5,62.08,98,52,2.66,IN,2021-08-05 14:30:23
128,Krasnovishersk,60.4078,57.082,59.02,91,100,8.95,RU,2021-08-05 14:30:23
129,Henties Bay,-22.116,14.2845,58.86,69,10,10.22,NA,2021-08-05 14:30:23
130,Dubbo,-32.25,148.6167,48.33,87,90,5.75,AU,2021-08-05 14:26:29
131,Hithadhoo,-0.6,73.0833,81.86,76,100,7.29,MV,2021-08-05 14:30:24
132,Minbu,20.1833,94.8833,77.14,92,100,11.39,MM,2021-08-05 14:30:25
133,Lerwick,60.1545,-1.1494,60.8,82,97,22.48,GB,2021-08-05 14:30:25
134,Qui Nhon,13.7667,109.2333,86.02,68,100,11.01,VN,2021-08-05 14:29:10
135,Burgeo,47.6167,-57.6152,65.39,65,84,8.05,CA,2021-08-05 14:30:26
136,Saulkrasti,57.2622,24.4147,70.79,61,79,2.57,LV,2021-08-05 14:30:27
137,Saint George,37.1041,-113.5841,87.39,28,1,3.44,US,2021-08-05 14:30:27
138,Sakakah,29.9697,40.2064,108.97,9,24,12.77,SA,2021-08-05 14:30:28
139,Salalah,17.0151,54.0924,80.69,89,90,9.22,OM,2021-08-05 14:28:03
140,Payakumbuh,-0.2202,100.6308,71.35,91,84,2.39,ID,2021-08-05 14:30:29
141,Zhigansk,66.7697,123.3711,54.95,43,0,5.37,RU,2021-08-05 14:30:29
142,Araguaina,-7.1911,-48.2072,95.29,19,6,8.95,BR,2021-08-05 14:30:30
143,Dombasle-Sur-Meurthe,48.6252,6.3497,72.28,83,75,8.05,FR,2021-08-05 14:30:30
144,Dikson,73.5069,80.5464,52.27,85,2,4.47,RU,2021-08-05 14:30:31
145,Sibolga,1.7427,98.7792,78.57,84,99,2.8,ID,2021-08-05 14:30:31
146,Batsfjord,70.6345,29.7185,59.22,79,93,8.23,NO,2021-08-05 14:30:32
147,Vanavara,60.34,102.2797,62.73,61,16,5.35,RU,2021-08-05 14:30:33
148,Bilma,18.6853,12.9164,106.25,13,3,7.38,NE,2021-08-05 14:30:33
149,Keetmanshoop,-26.5833,18.1333,72.52,11,0,6.91,NA,2021-08-05 14:30:33
150,Vuktyl,63.8567,57.3094,61.29,73,100,5.35,RU,2021-08-05 14:30:34
151,Cherskiy,68.75,161.3,41.09,91,73,11.03,RU,2021-08-05 14:30:35
152,Srednekolymsk,67.45,153.6833,40.42,91,89,7.14,RU,2021-08-05 14:30:35
153,Poum,-20.2333,164.0167,70.66,70,69,19.73,NC,2021-08-05 14:30:35
154,Khatanga,71.9667,102.5,63.21,41,38,10.92,RU,2021-08-05 14:30:36
155,Pangai,-19.8,-174.35,72.0,68,94,6.82,TO,2021-08-05 14:30:37
156,Ligatne,57.2343,25.0406,70.25,54,89,1.99,LV,2021-08-05 14:30:37
